driver,lap_number,lap_time,position
44,28.0,68.684,4.0
44,29.0,68.258,4.0
44,30.0,68.389,4.0
44,31.0,68.164,4.0
44,32.0,68.243,4.0
44,33.0,68.434,4.0
44,34.0,68.256,4.0
44,35.0,68.058,4.0
44,36.0,68.147,4.0
44,37.0,68.115,4.0
44,38.0,68.369,4.0
44,39.0,68.598,4.0
44,40.0,68.467,4.0
44,41.0,68.812,4.0
44,42.0,68.457,4.0
44,43.0,68.383,4.0
44,44.0,68.448,4.0
44,45.0,68.406,3.0
44,46.0,78.996,3.0
44,47.0,111.08,3.0
44,48.0,120.866,3.0
44,49.0,99.068,3.0
44,50.0,97.528,3.0
44,51.0,114.149,3.0
44,52.0,117.246,3.0
44,53.0,110.103,3.0
44,54.0,103.337,3.0
44,55.0,97.005,3.0
44,56.0,69.036,3.0
44,57.0,68.578,3.0
44,58.0,68.572,3.0
44,59.0,68.535,3.0
44,60.0,68.182,3.0
44,61.0,68.092,3.0
44,62.0,67.712,3.0
44,63.0,67.916,3.0
44,64.0,68.584,3.0
44,65.0,68.419,3.0
44,66.0,68.203,3.0
55,1.0,77.168,8.0
55,2.0,71.958,8.0
55,3.0,70.243,8.0
55,4.0,70.316,8.0
55,5.0,70.317,8.0
55,6.0,70.342,8.0
55,7.0,70.563,8.0
55,8.0,70.651,8.0
55,9.0,70.421,10.0
55,10.0,70.322,10.0
55,11.0,70.378,9.0
55,12.0,70.405,9.0
55,13.0,70.434,9.0
55,14.0,70.25,9.0
55,15.0,70.01,9.0
55,16.0,70.105,9.0
55,17.0,70.051,9.0
55,18.0,70.133,9.0
55,19.0,70.316,9.0
55,20.0,70.141,9.0
55,21.0,90.179,9.0
55,22.0,112.463,9.0
55,23.0,97.161,9.0
55,24.0,115.235,9.0
55,25.0,106.943,9.0
55,26.0,71.454,9.0
55,27.0,70.021,9.0
55,28.0,69.718,9.0
55,29.0,69.32,9.0
55,30.0,69.328,9.0
55,31.0,69.685,9.0
55,32.0,69.246,9.0
55,33.0,69.365,9.0
55,34.0,69.427,9.0
55,35.0,69.46,9.0
55,36.0,69.105,9.0
55,37.0,69.457,9.0
55,38.0,69.329,9.0
55,39.0,69.243,9.0
55,40.0,69.374,9.0
55,41.0,69.22,9.0
55,42.0,69.089,9.0
55,43.0,68.928,9.0
55,44.0,68.974,9.0
55,45.0,69.232,8.0
55,46.0,84.968,8.0
55,47.0,95.696,6.0
55,48.0,117.478,10.0
55,49.0,92.324,10.0
55,50.0,101.084,9.0
55,51.0,116.046,9.0
55,52.0,114.877,9.0
55,53.0,110.839,9.0
55,54.0,103.568,9.0
55,55.0,92.073,10.0
55,56.0,70.526,8.0
55,57.0,68.576,7.0
55,58.0,67.974,7.0
55,59.0,68.497,7.0
55,60.0,68.446,7.0
55,61.0,69.339,7.0
55,62.0,68.917,7.0
55,63.0,68.712,7.0
55,64.0,69.155,7.0
55,65.0,69.028,7.0
55,66.0,68.308,6.0
11,1.0,76.326,6.0
11,2.0,70.812,6.0
11,3.0,70.271,6.0
11,4.0,70.265,6.0
11,5.0,70.062,6.0
11,6.0,69.922,6.0
11,7.0,70.417,6.0
11,8.0,70.291,6.0
11,9.0,70.717,8.0
11,10.0,70.701,8.0
11,11.0,70.555,7.0
11,12.0,70.34,7.0
11,13.0,70.261,7.0
11,14.0,70.162,7.0
11,15.0,70.06,7.0
11,16.0,69.828,7.0
11,17.0,70.14,7.0
11,18.0,69.775,7.0
11,19.0,70.002,7.0
11,20.0,70.011,7.0
11,21.0,88.737,7.0
11,22.0,109.475,7.0
11,23.0,103.896,7.0
11,24.0,114.857,7.0
11,25.0,109.313,7.0
11,26.0,70.708,7.0
11,27.0,69.819,7.0
11,28.0,68.837,6.0
11,29.0,68.634,6.0
11,30.0,68.495,6.0
11,31.0,69.229,6.0
11,32.0,68.669,6.0
11,33.0,68.91,6.0
11,34.0,68.799,6.0
11,35.0,68.885,6.0
11,36.0,68.962,6.0
11,37.0,68.748,6.0
11,38.0,68.788,6.0
11,39.0,68.9,6.0
11,40.0,69.31,6.0
11,41.0,68.797,6.0
11,42.0,68.633,6.0
11,43.0,68.515,6.0
11,44.0,68.558,6.0
11,45.0,68.482,5.0
11,46.0,82.569,5.0
11,47.0,97.867,4.0
11,48.0,119.664,4.0
11,49.0,98.406,4.0
11,50.0,98.135,4.0
11,51.0,113.979,4.0
11,52.0,116.971,4.0
11,53.0,111.032,4.0
11,54.0,103.868,5.0
11,55.0,95.607,5.0
11,56.0,69.426,4.0
11,57.0,68.748,4.0
11,58.0,68.305,4.0
11,59.0,68.554,4.0
11,60.0,68.546,4.0
11,61.0,69.858,5.0
11,62.0,68.374,5.0
11,63.0,68.921,5.0
11,64.0,70.695,6.0
11,65.0,68.718,6.0
11,66.0,70.28,7.0
10,1.0,79.106,12.0
10,2.0,72.412,12.0
10,3.0,71.311,12.0
10,4.0,70.725,12.0
10,5.0,71.511,12.0
10,6.0,72.028,12.0
10,7.0,71.173,12.0
10,8.0,70.912,12.0
10,9.0,70.827,14.0
10,10.0,70.97,14.0
10,11.0,70.953,13.0
10,12.0,70.762,12.0
10,13.0,70.844,12.0
10,14.0,70.712,11.0
10,15.0,70.939,11.0
10,16.0,70.733,11.0
10,17.0,70.535,11.0
10,18.0,70.672,11.0
10,19.0,70.568,11.0
10,20.0,70.61,11.0
10,21.0,95.769,11.0
10,22.0,109.983,11.0
10,23.0,81.92,11.0
10,24.0,114.011,11.0
10,25.0,105.599,11.0
10,26.0,71.099,10.0
10,27.0,70.283,10.0
10,28.0,69.999,10.0
10,29.0,69.628,10.0
10,30.0,69.952,10.0
10,31.0,69.969,10.0
10,32.0,69.864,10.0
10,33.0,69.576,10.0
10,34.0,69.839,10.0
10,35.0,69.821,10.0
10,36.0,69.813,10.0
10,37.0,69.805,10.0
10,38.0,69.595,10.0
10,39.0,69.821,10.0
10,40.0,70.115,10.0
10,41.0,69.646,10.0
10,42.0,69.453,10.0
10,43.0,69.429,10.0
10,44.0,69.37,10.0
10,45.0,69.37,9.0
10,46.0,88.958,9.0
10,47.0,94.649,9.0
10,48.0,103.812,8.0
10,49.0,93.431,8.0
10,50.0,101.284,8.0
10,51.0,115.497,8.0
10,52.0,115.197,8.0
10,53.0,110.947,8.0
10,54.0,103.204,8.0
10,55.0,92.585,8.0
10,56.0,70.672,7.0
10,57.0,70.37,8.0
10,58.0,69.341,8.0
10,59.0,69.025,8.0
10,60.0,69.359,8.0
10,61.0,69.943,8.0
10,62.0,69.521,8.0
10,63.0,69.361,8.0
10,64.0,69.484,8.0
10,65.0,69.121,8.0
10,66.0,69.64,8.0
31,1.0,80.678,16.0
31,2.0,73.291,16.0
31,3.0,71.786,16.0
31,4.0,71.415,16.0
31,5.0,72.056,16.0
31,6.0,71.727,16.0
31,7.0,71.816,16.0
31,8.0,71.64,16.0
31,9.0,70.935,18.0
31,10.0,70.703,17.0
31,11.0,70.85,16.0
31,12.0,71.347,15.0
31,13.0,71.155,15.0
31,14.0,70.782,15.0
31,15.0,70.874,14.0
31,16.0,71.014,14.0
31,17.0,70.617,14.0
31,18.0,70.826,14.0
31,19.0,71.056,14.0
31,20.0,77.862,13.0
31,21.0,92.675,13.0
31,22.0,100.493,13.0
31,23.0,80.267,13.0
31,24.0,114.091,13.0
31,25.0,103.941,13.0
31,26.0,71.098,12.0
31,27.0,70.594,12.0
31,28.0,70.15,12.0
31,29.0,69.777,12.0
31,30.0,70.3,12.0
31,31.0,70.6,12.0
31,32.0,70.066,12.0
31,33.0,70.425,12.0
31,34.0,69.892,12.0
31,35.0,69.703,12.0
31,36.0,70.321,12.0
