driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Sergio Perez,57.0,57.073,3.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,58.0,57.319,3.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,59.0,56.973,3.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,60.0,57.211,3.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,61.0,68.533,3.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,62.0,76.056,3.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,63.0,76.795,2.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,64.0,91.907,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,65.0,89.912,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,66.0,94.625,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,67.0,86.387,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,68.0,83.264,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,69.0,56.789,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,70.0,56.879,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,71.0,56.811,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,72.0,56.975,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,73.0,56.826,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,74.0,56.911,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,75.0,56.826,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,76.0,56.862,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,77.0,56.885,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,78.0,56.999,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,79.0,57.193,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,80.0,57.0,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,81.0,57.118,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,82.0,57.394,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,83.0,57.066,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,84.0,57.374,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,85.0,57.208,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,86.0,57.404,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,87.0,57.243,1.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Esteban Ocon,1.0,84.225,10.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,2.0,93.924,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,3.0,90.797,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,4.0,89.625,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,5.0,92.817,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,6.0,80.122,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,7.0,59.717,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,8.0,59.45,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,9.0,59.452,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,10.0,58.794,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,11.0,58.848,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,12.0,58.986,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,13.0,58.91,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,14.0,59.209,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,15.0,59.048,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,16.0,59.102,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,17.0,58.811,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,18.0,58.959,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,19.0,58.687,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,20.0,58.787,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,21.0,58.895,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,22.0,59.106,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,23.0,58.928,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,24.0,59.107,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,25.0,58.956,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,26.0,59.184,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,27.0,58.865,8.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,28.0,58.922,6.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,29.0,58.561,5.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,30.0,58.579,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,31.0,58.71,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,32.0,58.757,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,33.0,58.719,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,34.0,58.781,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,35.0,58.786,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,36.0,58.707,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,37.0,58.568,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
